time_sn,ctrlong,ctrlatr,ax_m_s2,ay_m_s2,az_m_s2,p_rad_s,q_rad_s,r_rad_s,quat_e0,quat_ex,quat_ey,quat_ez,alpha_rad,beta_rad,tas_m_s,de_rad,dr_rad,da_rad,mass_kg,thrust_N,lat_rad,lon_rad,alt_m
35.42,1,1,0.274092911124423,-0.00659776889588742,-9.79965976419944,7.59358193079706e-05,5.68024758252722e-05,-0.000523244492538796,0.999443797567561,9.70271833418459e-05,0.0143566418849211,-0.0300997973343152,0.0551785732079677,0.00104260015146749,25.0696038236764,-0.129008296493837,0,-0.0148144070861563,10.498852867332,6.2851726516348,0.785542124189074,-2.12930946364099,972.849048362737
35.44,1,1,0.274118413523492,-0.00659814793887208,-9.79965886360257,7.58122734441874e-05,5.66906531271144e-05,-0.000522790664024569,0.999443631905283,9.77274953552849e-05,0.0143571867343887,-0.0301050354377844,0.0551796334560244,0.00104263295230194,25.069457568017,-0.12901632460865,0,-0.0148145299724696,10.4988522313181,6.28526642936162,0.785542202755318,-2.12930947019963,972.835777742933
35.46,1,1,0.274143866104523,-0.00659852631965351,-9.79965796449646,7.56889491534954e-05,5.65790454527373e-05,-0.000522337659214389,0.999443466367454,9.84266051664373e-05,0.0143577305035781,-0.0301102689911485,0.0551806913477464,0.0010426656944992,25.0693116015264,-0.129024335218877,0,-0.0148146526468404,10.4988515953045,6.28536007224847,0.785542281321055,-2.12930947675939,972.822507233811
35.48,1,1,0.274169268967051,-0.00659890403945689,-9.79965706690367,7.55658460601156e-05,5.64676531634062e-05,-0.000521885476643145,0.999443300953873,9.91245149313745e-05,0.0143582731945787,-0.0301154980026665,0.0551817468878998,0.00104269837816822,25.0691659236423,-0.129032328359826,0,-0.0148147751097053,10.4988509592911,6.28545358055577,0.785542359886287,-2.12930948332027,972.809236835291
35.5,1,1,0.274194622210339,-0.00659928109950352,-9.79965617084611,7.54429637888948e-05,5.63564766029636e-05,-0.000521434114848163,0.999443135664335,9.9821226802744e-05,0.0143588148094833,-0.0301207224805826,0.0551828000812368,0.00104273100341774,25.0690205338039,-0.129040304066838,0,-0.0148148973615014,10.498850323278,6.28554695454353,0.785542438451013,-2.12930948988227,972.79596654729
35.52,1,1,0.274219925933433,-0.00659965750101212,-9.79965527634536,7.53203019645996e-05,5.62455160834619e-05,-0.000520983572369238,0.999442970498639,0.000100516742929765,0.0143593553503882,-0.0301259424331264,0.0551838509324955,0.00104276357035623,25.0688754314513,-0.129048262374994,0,-0.0148150194026643,10.4988496872652,6.28564019447135,0.785542517015237,-2.1293094964454,972.782696369727
35.54,1,1,0.274245180235115,-0.00660003324519909,-9.79965438342242,7.5197860212193e-05,5.61347719281743e-05,-0.000520533847748618,0.999442805456581,0.000101211065458224,0.0143598948193931,-0.0301311578685128,0.0551848994464005,0.00104279607909195,25.0687306160257,-0.129056203319363,0,-0.0148151412336279,10.4988490512526,6.28573330059839,0.785542595578957,-2.12930950300965,972.769426302519
35.56,1,1,0.274270385213892,-0.00660040833327795,-9.79965349209762,7.50756381569306e-05,5.60242444816696e-05,-0.000520084939530998,0.999442640537958,0.000101904196530486,0.014360433218601,-0.0301363687949422,0.0551859456276635,0.00104282852973291,25.0685860869694,-0.129064126935188,0,-0.0148152628548253,10.4988484152403,6.28582627318337,0.785542674142176,-2.12930950957502,972.756156345586
35.58,1,1,0.274295540968143,-0.00660078276645928,-9.79965260239149,7.49536354247571e-05,5.59139339842426e-05,-0.000519636846263514,0.999442475742568,0.000102596138285484,0.0143609705501178,-0.0301415752206002,0.0551869894809825,0.00104286092238689,25.0684418437259,-0.12907203325695,0,-0.0148153842666888,10.4988477792282,6.28591911248464,0.785542752704894,-2.1293095161415,972.742886498846
35.6,1,1,0.274320647595865,-0.00660115654595145,-9.79965171432322,7.48318516409637e-05,5.58038407459138e-05,-0.000519189566495787,0.999442311070209,0.000103286892858712,0.0143615068160525,-0.030146777153658,0.055188031011042,0.00104289325716143,25.0682978857398,-0.129079922319836,0,-0.0148155054696489,10.4988471432163,6.28601181876009,0.785542831267112,-2.12930952270911,972.729616762218
35.62,1,1,0.274345705194959,-0.00660152967295958,-9.7996508279124,7.47102864314936e-05,5.56939649777711e-05,-0.000518743098779866,0.999442146520677,0.000103976462382224,0.0143620420185167,-0.0301519746022723,0.0551890702225133,0.00104292553416386,25.0681542124567,-0.12908779415813,0,-0.0148156264641358,10.4988465072047,6.28610439226725,0.78554290982883,-2.12930952927783,972.716347135621
35.64,1,1,0.274370713862972,-0.00660190214868689,-9.79964994317747,7.45889394227278e-05,5.55843069816063e-05,-0.000518297441670243,0.999441982093772,0.000104664848984635,0.0143625761596245,-0.0301571675745851,0.0551901071200548,0.00104295775350125,25.0680108233235,-0.129095648806715,0,-0.0148157472505776,10.4988458711934,6.28619683326317,0.785542988390052,-2.12930953584767,972.703077618973
35.66,1,1,0.274395673697288,-0.00660227397433309,-9.79964906013684,7.44678102410231e-05,5.54748669623505e-05,-0.000517852593723864,0.999441817789292,0.000105352054791122,0.0143631092414929,-0.0301623560787239,0.0551911417083117,0.00104298991528045,25.0678677177878,-0.129103486299965,0,-0.0148158678294025,10.4988452351822,6.2862891420045,0.785543066950775,-2.12930954241862,972.689808212193
35.68,1,1,0.274420584795035,-0.00660264515109569,-9.79964817880836,7.434689851304e-05,5.53656451581619e-05,-0.000517408553500126,0.999441653607033,0.00010603808192342,0.014363641266241,-0.0301675401228021,0.0551921739919164,0.00104302201960809,25.0677248952986,-0.129111306672312,0,-0.0148159882010371,10.4988445991713,6.2863813187475,0.785543145511002,-2.12930954899069,972.6765389152
